"","year_month","country_name","volume_sum","value_sum","refusal_count","USDA_dummy","year","month","USDAxVolume"
"116",Aug 2013,"BRAZIL",43622,139200,NA,0,2013,8,0
"117",Aug 2013,"CANADA",1431,25621,NA,0,2013,8,0
"118",Aug 2013,"CHINA",452172,1706059,NA,0,2013,8,0
"119",Aug 2013,"ICELAND",1452,10286,NA,0,2013,8,0
"120",Aug 2013,"PHILIPPINES",2978,19249,NA,0,2013,8,0
"121",Aug 2013,"VIETNAM",9567647,29956211,NA,0,2013,8,0
"122",Sep 2013,"BRAZIL",109017,348000,NA,0,2013,9,0
"123",Sep 2013,"CANADA",200,3165,NA,0,2013,9,0
"124",Sep 2013,"CHINA",52956,230277,NA,0,2013,9,0
"125",Sep 2013,"VIETNAM",9030658,27281489,NA,0,2013,9,0
"126",Oct 2013,"BRAZIL",87206,278400,NA,0,2013,10,0
"127",Oct 2013,"CHINA",320536,1248763,NA,0,2013,10,0
"128",Oct 2013,"VIETNAM",8984770,26318236,NA,0,2013,10,0
"129",Nov 2013,"BRAZIL",65433,208800,NA,0,2013,11,0
"130",Nov 2013,"BURMA",2604,11226,NA,0,2013,11,0
"131",Nov 2013,"CHINA",496797,2008586,NA,0,2013,11,0
"132",Nov 2013,"THAILAND",3930,15725,NA,0,2013,11,0
"133",Nov 2013,"VIETNAM",9475874,28168496,NA,0,2013,11,0
"134",Dec 2013,"BRAZIL",43622,139200,NA,0,2013,12,0
"135",Dec 2013,"CHINA",905135,3979351,NA,0,2013,12,0
"136",Dec 2013,"GUYANA",680,6000,NA,0,2013,12,0
"137",Dec 2013,"INDIA",2994,9900,NA,0,2013,12,0
"138",Dec 2013,"PHILIPPINES",11872,63006,NA,0,2013,12,0
"139",Dec 2013,"VIETNAM",9386216,28200476,NA,0,2013,12,0
"140",Jan 2014,"BRAZIL",65433,208800,8,0,2014,1,0
"141",Jan 2014,"CHINA",1410122,6375971,164,0,2014,1,0
"142",Jan 2014,"THAILAND",600,2242,21,0,2014,1,0
"143",Jan 2014,"VIETNAM",10903306,32070640,35,0,2014,1,0
"144",Feb 2014,"BANGLADESH",16330,216000,6,0,2014,2,0
"145",Feb 2014,"BRAZIL",43622,139200,3,0,2014,2,0
"146",Feb 2014,"BURMA",1459,10661,NA,0,2014,2,0
"147",Feb 2014,"CHINA",1105015,4983759,181,0,2014,2,0
"148",Feb 2014,"PHILIPPINES",13732,79075,15,0,2014,2,0
"149",Feb 2014,"VIETNAM",9559160,27930300,17,0,2014,2,0
"150",Mar 2014,"CHINA",626745,2884783,180,0,2014,3,0
"151",Mar 2014,"VIETNAM",10928025,32442749,14,0,2014,3,0
"152",Apr 2014,"CHINA",557403,2726662,189,0,2014,4,0
"153",Apr 2014,"PHILIPPINES",5640,29164,10,0,2014,4,0
"154",Apr 2014,"THAILAND",5510,14701,16,0,2014,4,0
"155",Apr 2014,"VIETNAM",4339117,13110661,63,0,2014,4,0
"156",May 2014,"CHINA",774008,3691430,200,0,2014,5,0
"157",May 2014,"VIETNAM",5158068,17044702,26,0,2014,5,0
"158",Jun 2014,"CHINA",328623,1603087,178,0,2014,6,0
"159",Jun 2014,"GUYANA",517,5130,NA,0,2014,6,0
"160",Jun 2014,"ICELAND",370,3627,NA,0,2014,6,0
"161",Jun 2014,"VIETNAM",5489998,18547787,30,0,2014,6,0
"162",Jul 2014,"CHINA",70014,375277,184,0,2014,7,0
"163",Jul 2014,"ICELAND",654,9385,NA,0,2014,7,0
"164",Jul 2014,"VENEZUELA",6524,10112,NA,0,2014,7,0
"165",Jul 2014,"VIETNAM",7404833,24585366,27,0,2014,7,0
"166",Aug 2014,"BRAZIL",21811,70330,10,0,2014,8,0
"167",Aug 2014,"CHINA",133890,715998,213,0,2014,8,0
"168",Aug 2014,"FRENCH POLYNESIA",1356,13523,NA,0,2014,8,0
"169",Aug 2014,"VIETNAM",8677146,27763668,9,0,2014,8,0
"170",Sep 2014,"BURMA",2412,21111,NA,0,2014,9,0
"171",Sep 2014,"CHINA",265496,1258653,177,0,2014,9,0
"172",Sep 2014,"GUYANA",2765,26390,5,0,2014,9,0
"173",Sep 2014,"VIETNAM",9611907,29949936,17,0,2014,9,0
"174",Oct 2014,"CHINA",430974,2106182,336,0,2014,10,0
"175",Oct 2014,"GUYANA",227,2125,NA,0,2014,10,0
"176",Oct 2014,"INDIA",868,6699,150,0,2014,10,0
"177",Oct 2014,"VIETNAM",9551979,29369500,50,0,2014,10,0
"178",Nov 2014,"BURMA",16539,54600,NA,0,2014,11,0
"179",Nov 2014,"CHINA",718195,3475256,126,0,2014,11,0
"180",Nov 2014,"VIETNAM",8363341,25831425,32,0,2014,11,0
"181",Dec 2014,"BURMA",2572,23912,NA,0,2014,12,0
"182",Dec 2014,"CHINA",1167182,6354506,161,0,2014,12,0
