MFG_FIRM_FEI_NUM,LGL_NAME,LINE1_ADRS,LINE2_ADRS,CITY_NAME,PROVINCE_STATE,ISO_CNTRY_CODE,PRODUCT_CODE,REFUSAL_DATE,DISTRICT,ENTRY_NUM,RFRNC_DOC_ID,LINE_NUM,LINE_SFX_ID,FDA_SAMPLE_ANALYSIS,PRIVATE_LAB_ANALYSIS,REFUSAL_CHARGES,PRDCT_CODE_DESC_TEXT,ITACS_Product,ITACS_Quantity,Unit,Subunit,Per_LB,Per_KG,Total_LB,Total_KG,Weight_Refused_KG
3008047023,Hubei Zhenghe Food,1 St. Road,,Hubei,,CN,16XGD02,19-May-14,SWI-DO,038-0635392-0,1,1,,No,Yes,"238, 2860","CATFISH, AQUACULTURE, FRESH WATER",FRZ IQF CATFISH FILLETS SKINLESS BONLESS,"Total: 2700.0 Case (2700.0 Case, 1.0 Bag, 15.0 Pounds (avdp))",2700,1,15,,40500,,18367
3008047023,Hubei Zhenghe Food,1 St. Road,,Hubei,,CN,16XGD02,26-Jun-14,SWI-DO,038-0635431-6,1,1,,No,Yes,"238, 2860","CATFISH, AQUACULTURE, FRESH WATER",FRZ IQF CATFISH FILLETS SKINLESS BONLESS,"Total: 2084.0 Case (2084.0 Case, 1.0 Bag, 15.0 Pounds (avdp))",2084,1,15,,31260,,14177
3008047023,Hubei Zhenghe Food,1 St. Road,,Hubei,,CN,16XGD02,26-Jun-14,SWI-DO,038-0635431-6,1,2,,No,Yes,"238, 2860","CATFISH, AQUACULTURE, FRESH WATER",FRZ IQF CATFISH FILLETS SKINLESS BONLESS,"Total: 616.0 Case (616.0 Case, 1.0 Bag, 15.0 Pounds (avdp))",616,1,15,,9240,,4190
3007922564,"Wuhan Coland Aquatic Products and Food Co., Ltd.",Industry Zone,Wangjijiedao; Xinzhouqu,Wuyi City,Hubeisheng,CN,16XGD02,11-Jun-15,BLT-DO,038-0638633-4,1,1,,No,Yes,"238, 2860","CATFISH, AQUACULTURE, FRESH WATER",FRZ IQF CATFISH FILLETS SKINLESS BONLESS,"Total: 2865.0 Case (2865.0 Case, 1.0 Bag, 15.0 Pounds (avdp))",2865,1,15,,42975,,19490
3010124790,"Tan Thanh Loi Frozen Food Co., Ltd.",546/1 Binh Cang 1 Small Village,"Binh Thanh Village, Thu Thua District",Long An,Long An,VN,16AGD10,4-Apr-14,LOS-DO,082-0341752-5,2,1,,No,Yes,2860,"CATFISH, FRESHWATER (E.G. CHANNEL, BLUE, WHITE, YAQUI, BULLHEAD, FLATHEAD CATFISH)",FROZEN BULL HEAD FISH,"Total: 33.0 Carton (33.0 Carton, 40.0 Pounds (avdp))",33,,40,,1320,,599
3010124790,"Tan Thanh Loi Frozen Food Co., Ltd.",546/1 Binh Cang 1 Small Village,"Binh Thanh Village, Thu Thua District",Long An,Long An,VN,16AGD10,4-Apr-14,LOS-DO,082-0342008-1,2,1,,No,Yes,2860,"CATFISH, FRESHWATER (E.G. CHANNEL, BLUE, WHITE, YAQUI, BULLHEAD, FLATHEAD CATFISH)",FRZ HL BULL HEAD FISH,"Total: 100.0 Carton (100.0 Carton, 20.0 Bag, 2.0 Pounds (avdp))",100,20,2,,4000,,1814
3010124790,"Tan Thanh Loi Frozen Food Co., Ltd.",546/1 Binh Cang 1 Small Village,"Binh Thanh Village, Thu Thua District",Long An,Long An,VN,16AGD10,15-Apr-14,LOS-DO,082-0342009-9,6,3,,No,Yes,2860,"CATFISH, FRESHWATER (E.G. CHANNEL, BLUE, WHITE, YAQUI, BULLHEAD, FLATHEAD CATFISH)",FRZ RAW HL BULL HEAD FISH,"Total: 160.0 Carton (160.0 Carton, 40.0 Pounds (avdp))",160,,40,,6400,,2902
3006454956,"Jiangsu HaiTian Sea-Beach Aquatic Foods Co., Ltd.",Qianjinlu,Dongtaichina.,Yancheng,Jiangsu,CN,16XGT02,1-Apr-16,FLA-DO,101-4697522-2,1,1,,No,No,2860,"CATFISH, AQUACULTURE, FRESH WATER",FROZEN IQF CHANNEL CATFISH FILLETS SIZE 3-5,"Total: 3000.0 Carton (3000.0 Carton, 15.0 Pounds (avdp))",3000,,15,,45000,,20408
3006454956,"Jiangsu HaiTian Sea-Beach Aquatic Foods Co., Ltd.",Qianjinlu,Dongtaichina.,Yancheng,Jiangsu,CN,16XGT02,4-Nov-14,NWE-DO,316-1933423-3,2,1,,No,No,2860,"CATFISH, AQUACULTURE, FRESH WATER",CTNS OF FROZEN CATFISH FILLETS,Total: 2.0 Kilograms (2.0 Kilograms),,,,2,,2,2
3012981181,JIANGSU BAOLONG GROUP CO LTD,No. 66 Chuangxin Road Doulong Yuye,Sanlong Town Jiangsu,Yancheng,Jiangsu,CN,16AVD10,12-Aug-14,LOS-DO,788-0516519-5,1,1,,No,No,"280, 2860","CATFISH, FRESHWATER (E.G. CHANNEL, BLUE, WHITE, YAQUI, BULLHEAD, FLATHEAD CATFISH)",FROZEN CATFISH FILLETS,"Total: 1.0 Carton (1.0 Carton, 1.0 Pounds (avdp))",1,1,1,,1,,0
